index,user,item,text,position,test,errors_perc,complexity,age,italian,group,readedu,digital,admin,avg_coll_sent,avg_mw_ent_sent,participles_verbs,indicative_verbs,ratio_sub_tot,depth_parse_tree,avg_prep_chain_length,common_nominal_type_adjacent_sents,devnouns_nouns,perc_vfo,avg_sent_length,abstract_nouns,avg_asides
167,CZmlq,AS,A,1,2,25,simple,over60,L1,elderly,2,4,2.5,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
197,XTmHw,AS,A,1,2,0,simple,over60,L1,elderly,1.666666667,3.5,1.5,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
201,uafim,AS,A,1,2,25,simple,over60,L1,elderly,2,3,4.5,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
203,3ytq8,AS,A,1,2,0,simple,over60,L1,elderly,0.6666666667,1,1,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
223,bqciK,AS,A,1,2,50,simple,over60,L1,elderly,1.333333333,1,1,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
227,bnVgP,AS,A,1,2,0,simple,over60,L1,elderly,1.666666667,2.5,2,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
233,AFxWM,AS,A,1,2,25,simple,over60,L1,elderly,2,1,2,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
168,CZmlq,CO,C,2,2,0,complex,over60,L1,elderly,2,4,2.5,0.75,1.5,12.5,45.83333333,0.444444444,2.708333333,0.105263158,1.625,16.66666667,52.7027027,27.75,72.22222222,0.375
198,XTmHw,CO,C,2,2,0,complex,over60,L1,elderly,1.666666667,3.5,1.5,0.75,1.5,12.5,45.83333333,0.444444444,2.708333333,0.105263158,1.625,16.66666667,52.7027027,27.75,72.22222222,0.375
202,uafim,CO,C,2,2,0,complex,over60,L1,elderly,2,3,4.5,0.75,1.5,12.5,45.83333333,0.444444444,2.708333333,0.105263158,1.625,16.66666667,52.7027027,27.75,72.22222222,0.375
