index,user,item,text,position,test,errors_perc,complexity,age,italian,group,readedu,digital,admin,avg_coll_sent,avg_mw_ent_sent,participles_verbs,indicative_verbs,ratio_sub_tot,depth_parse_tree,avg_prep_chain_length,common_nominal_type_adjacent_sents,devnouns_nouns,perc_vfo,avg_sent_length,abstract_nouns,avg_asides
1,glxjJ,AO,A,1,1,0,complex,under60,L2,L2,1.666666667,4,4,0.454545455,2.181818182,30.76923077,30.76923077,0.5,4.276190476,0.126530612,0.7,8.108108108,60.8365019,23.90909091,79.72972973,0.727272727
5,IEosz,AO,A,1,1,100,complex,under60,L2,L2,1,4,3,0.454545455,2.181818182,30.76923077,30.76923077,0.5,4.276190476,0.126530612,0.7,8.108108108,60.8365019,23.90909091,79.72972973,0.727272727
39,40WNw,AO,A,1,1,100,complex,under60,L2,L2,1.5,3.5,1,0.454545455,2.181818182,30.76923077,30.76923077,0.5,4.276190476,0.126530612,0.7,8.108108108,60.8365019,23.90909091,79.72972973,0.727272727
51,8UCU3,AO,A,1,1,25,complex,under60,L2,L2,2,3.5,1.5,0.454545455,2.181818182,30.76923077,30.76923077,0.5,4.276190476,0.126530612,0.7,8.108108108,60.8365019,23.90909091,79.72972973,0.727272727
57,FiQJ0,AO,A,1,1,50,complex,under60,L2,L2,2.5,3,3,0.454545455,2.181818182,30.76923077,30.76923077,0.5,4.276190476,0.126530612,0.7,8.108108108,60.8365019,23.90909091,79.72972973,0.727272727
63,2KEJD,AO,A,1,1,75,complex,under60,L2,L2,1.666666667,3.5,4,0.454545455,2.181818182,30.76923077,30.76923077,0.5,4.276190476,0.126530612,0.7,8.108108108,60.8365019,23.90909091,79.72972973,0.727272727
81,0EpvH,AO,A,1,1,75,complex,under60,L2,L2,2,3.5,1,0.454545455,2.181818182,30.76923077,30.76923077,0.5,4.276190476,0.126530612,0.7,8.108108108,60.8365019,23.90909091,79.72972973,0.727272727
2,glxjJ,CS,C,2,1,50,simple,under60,L2,L2,1.666666667,4,4,0.444444444,1.111111111,4.761904762,61.9047619,0.25,1.913043478,0.09202454,1.666666667,8.333333333,63.27683616,19.66666667,60.41666667,0
6,IEosz,CS,C,2,1,75,simple,under60,L2,L2,1,4,3,0.444444444,1.111111111,4.761904762,61.9047619,0.25,1.913043478,0.09202454,1.666666667,8.333333333,63.27683616,19.66666667,60.41666667,0
40,40WNw,CS,C,2,1,25,simple,under60,L2,L2,1.5,3.5,1,0.444444444,1.111111111,4.761904762,61.9047619,0.25,1.913043478,0.09202454,1.666666667,8.333333333,63.27683616,19.66666667,60.41666667,0
52,8UCU3,CS,C,2,1,25,simple,under60,L2,L2,2,3.5,1.5,0.444444444,1.111111111,4.761904762,61.9047619,0.25,1.913043478,0.09202454,1.666666667,8.333333333,63.27683616,19.66666667,60.41666667,0
58,FiQJ0,CS,C,2,1,50,simple,under60,L2,L2,2.5,3,3,0.444444444,1.111111111,4.761904762,61.9047619,0.25,1.913043478,0.09202454,1.666666667,8.333333333,63.27683616,19.66666667,60.41666667,0
64,2KEJD,CS,C,2,1,25,simple,under60,L2,L2,1.666666667,3.5,4,0.444444444,1.111111111,4.761904762,61.9047619,0.25,1.913043478,0.09202454,1.666666667,8.333333333,63.27683616,19.66666667,60.41666667,0
82,0EpvH,CS,C,2,1,50,simple,under60,L2,L2,2,3.5,1,0.444444444,1.111111111,4.761904762,61.9047619,0.25,1.913043478,0.09202454,1.666666667,8.333333333,63.27683616,19.66666667,60.41666667,0
7,eG3jy,BS,B,1,4,0,simple,under60,L2,L2,2.333333333,2.5,3,0,1.333333333,11.42857143,48.57142857,0.428571429,2.111111111,0.084158416,1.5,5.357142857,67.74193548,18.08333333,41.07142857,0.083333333
