index,user,item,text,position,test,timing,errors_perc,complexity,age,italian,group,readedu,digital,admin,years_in_italy,years_studying_italian,certificate_level,language_habits,read,edu
1,glxjJ,AO,A,1,1,131.363,0,complex,under60,L2,L2,1.666666667,4,4,9,1,0,1,1.5,2
2,glxjJ,CS,C,2,1,84.944,50,simple,under60,L2,L2,1.666666667,4,4,9,1,0,1,1.5,2
5,IEosz,AO,A,1,1,163.445,100,complex,under60,L2,L2,1,4,3,6,0.5,2,1,0.5,2
6,IEosz,CS,C,2,1,4.735,75,simple,under60,L2,L2,1,4,3,6,0.5,2,1,0.5,2
7,eG3jy,BS,B,1,4,116.642,0,simple,under60,L2,L2,2.333333333,2.5,3,15,15,0,3,2.5,2
8,eG3jy,DO,D,2,4,176.037,0,complex,under60,L2,L2,2.333333333,2.5,3,15,15,0,3,2.5,2
15,bG58S,BS,B,1,4,8.168,75,simple,under60,L2,L2,2.333333333,2.5,2,2,2,3,3,2,3
16,bG58S,DO,D,2,4,48.761,75,complex,under60,L2,L2,2.333333333,2.5,2,2,2,3,3,2,3
19,GcGjO,BO,B,1,3,238.434,50,complex,under60,L2,L2,1,3,3,2,2,2,1,1.5,0
20,GcGjO,DS,D,2,3,33.027,25,simple,under60,L2,L2,1,3,3,2,2,2,1,1.5,0
23,8I7ig,AS,A,1,2,278.655,75,simple,under60,L2,L2,1.333333333,4,2.5,5,4,3,3,2,0
24,8I7ig,CO,C,2,2,262.968,75,complex,under60,L2,L2,1.333333333,4,2.5,5,4,3,3,2,0
27,2Zxji,AS,A,1,2,13.944,0,simple,under60,L2,L2,1,3.5,4,15,0.5,0,1,1,1
28,2Zxji,CO,C,2,2,29.085,25,complex,under60,L2,L2,1,3.5,4,15,0.5,0,1,1,1
37,mmTvy,AS,A,1,2,139.461,25,simple,under60,L2,L2,2.333333333,4,4.5,5,5,2,0,2,3
38,mmTvy,CO,C,2,2,43.317,0,complex,under60,L2,L2,2.333333333,4,4.5,5,5,2,0,2,3
41,Tracm,AS,A,1,2,212.259,75,simple,under60,L2,L2,1,3.5,2.5,20,1,0,2,1,1
42,Tracm,CO,C,2,2,10.476,25,complex,under60,L2,L2,1,3.5,2.5,20,1,0,2,1,1
43,3KDSv,BS,B,1,4,377.629,100,simple,under60,L2,L2,0.6666666667,2.5,3.5,7,0.5,2,3,1,0
44,3KDSv,DO,D,2,4,191.434,75,complex,under60,L2,L2,0.6666666667,2.5,3.5,7,0.5,2,3,1,0
51,8UCU3,AO,A,1,1,8.055,25,complex,under60,L2,L2,2,3.5,1.5,2,2,2,1,2,2
52,8UCU3,CS,C,2,1,57.26,25,simple,under60,L2,L2,2,3.5,1.5,2,2,2,1,2,2
53,Ngduz,BO,B,1,3,405.143,25,complex,under60,L2,L2,1.666666667,0,1,5,1,2,3,2,1
54,Ngduz,DS,D,2,3,85.084,100,simple,under60,L2,L2,1.666666667,0,1,5,1,2,3,2,1
55,na5bc,BS,B,1,4,205.731,25,simple,under60,L2,L2,1.333333333,1.5,2,5,1,2,3,1.5,1
56,na5bc,DO,D,2,4,98.067,25,complex,under60,L2,L2,1.333333333,1.5,2,5,1,2,3,1.5,1
61,721en,BO,B,1,3,3.152,75,complex,under60,L2,L2,1,3.5,3,4,3,2,3,1.5,0
62,721en,DS,D,2,3,11.466,75,simple,under60,L2,L2,1,3.5,3,4,3,2,3,1.5,0
63,2KEJD,AO,A,1,1,439.604,75,complex,under60,L2,L2,1.666666667,3.5,4,15,3,0,1,2.5,0
64,2KEJD,CS,C,2,1,353.649,25,simple,under60,L2,L2,1.666666667,3.5,4,15,3,0,1,2.5,0
65,UvX1D,AS,A,1,2,65.336,50,simple,under60,L2,L2,1.333333333,2.5,2.5,1,0.5,2,2,1.5,1
66,UvX1D,CO,C,2,2,3.5,75,complex,under60,L2,L2,1.333333333,2.5,2.5,1,0.5,2,2,1.5,1
67,bxUA9,BS,B,1,4,247.54,0,simple,under60,L2,L2,2.666666667,0.5,1.5,31,10,0,3,2.5,3
68,bxUA9,DO,D,2,4,51.063,0,complex,under60,L2,L2,2.666666667,0.5,1.5,31,10,0,3,2.5,3
71,edPrz,AS,A,1,2,18.11,50,simple,under60,L2,L2,1.666666667,2.5,2,6,1,3,3,2.5,0
72,edPrz,CO,C,2,2,55.823,75,complex,under60,L2,L2,1.666666667,2.5,2,6,1,3,3,2.5,0
75,tTvg0,BO,B,1,3,2.457,50,complex,under60,L2,L2,2.666666667,2.5,4,3,0.5,2,2,2.5,3
76,tTvg0,DS,D,2,3,1.924,75,simple,under60,L2,L2,2.666666667,2.5,4,3,0.5,2,2,2.5,3
77,NQZ8e,AS,A,1,2,47.445,50,simple,under60,L2,L2,1,3.5,3,1,1,2,2,1,1
78,NQZ8e,CO,C,2,2,143.637,0,complex,under60,L2,L2,1,3.5,3,1,1,2,2,1,1
79,oeOec,AS,A,1,2,169.828,50,simple,under60,L2,L2,1,2.5,3.5,2,2,2,2,1.5,0
80,oeOec,CO,C,2,2,67.741,25,complex,under60,L2,L2,1,2.5,3.5,2,2,2,2,1.5,0
81,0EpvH,AO,A,1,1,424.107,75,complex,under60,L2,L2,2,3.5,1,2,0.5,2,2,1.5,3
82,0EpvH,CS,C,2,1,2.815,50,simple,under60,L2,L2,2,3.5,1,2,0.5,2,2,1.5,3
